Date,Open,High,Low,Close,Volume,Change
2019-03-21,5900,6060,5870,5960,370828,-0.0016750418760469454
2019-03-22,6000,6030,5920,5930,219408,-0.005033557046979831
2019-03-25,5830,5970,5810,5830,327567,-0.016863406408094472
2019-03-26,5860,5920,5800,5810,252250,-0.0034305317324184736
2019-03-27,5820,6020,5790,5930,367035,0.0206540447504302
2019-03-28,5960,5960,5810,5840,247117,-0.015177065767284947
2019-03-29,5840,5890,5750,5880,289775,0.006849315068493178
2019-04-01,5920,6000,5820,5980,287899,0.017006802721088343
2019-04-02,6000,6010,5900,5920,198353,-0.010033444816053505
2019-04-03,5920,5960,5850,5930,278792,0.0016891891891892552
2019-04-04,5950,6170,5930,6050,968757,0.02023608768971341
2019-04-05,6020,6090,5970,6010,298240,-0.006611570247933907
2019-04-08,6050,6060,5930,5960,273090,-0.008319467554076532
2019-04-09,6030,6050,5930,6000,289327,0.006711409395973256
2019-04-10,5960,6030,5950,6000,165355,0.0
2019-04-11,6010,6110,6010,6020,378463,0.0033333333333334103
2019-04-12,6000,6040,5980,6010,200459,-0.0016611295681062677
2019-04-15,6060,6070,5980,6010,220341,0.0
2019-04-16,6010,6020,5840,5880,476677,-0.021630615640598982
2019-04-17,5910,5930,5760,5830,627444,-0.008503401360544172
2019-04-18,5840,5860,5710,5730,434700,-0.01715265866209259
2019-04-19,5790,5830,5740,5780,269381,0.008726003490401313
2019-04-22,5800,5800,5710,5720,288558,-0.01038062283737029
2019-04-23,5740,5750,5710,5740,196732,0.0034965034965035446
2019-04-24,5770,5870,5720,5820,294912,0.013937282229965264
2019-04-25,5820,5820,5710,5750,301967,-0.012027491408934665
2019-04-26,5750,5750,5630,5660,417611,-0.01565217391304352
2019-04-29,5700,5780,5670,5740,169941,0.014134275618374659
2019-04-30,5760,5770,5690,5730,146006,-0.0017421602787456303
2019-05-02,5700,5800,5690,5770,174178,0.00698080279232105
2019-05-03,5730,5780,5730,5750,143010,-0.0034662045060658286
2019-05-07,5650,5720,5650,5670,183221,-0.013913043478260834
2019-05-08,5660,5670,5560,5580,308051,-0.015873015873015928
2019-05-09,5580,5620,5340,5380,541128,-0.03584229390681004
2019-05-10,5380,5590,5320,5470,326375,0.016728624535315983
2019-05-13,5430,5500,5240,5250,373419,-0.04021937842778789
2019-05-14,5120,5320,5100,5240,410692,-0.0019047619047618536
2019-05-15,5260,5380,5220,5370,194470,0.024809160305343525
2019-05-16,5370,5380,5250,5300,206219,-0.013035381750465591
2019-05-17,5310,5440,5280,5310,202654,0.0018867924528302993
2019-05-20,5360,5400,5270,5270,193335,-0.007532956685499026
2019-05-21,5230,5390,5220,5280,171381,0.00189753320683117
2019-05-22,5320,5390,5290,5370,158686,0.017045454545454586
2019-05-23,5370,5430,5280,5320,135777,-0.009310986964618295
2019-05-24,5370,5370,5130,5220,307251,-0.018796992481203034
2019-05-27,5200,5310,5180,5280,172188,0.011494252873563315
2019-05-28,5250,5410,5220,5410,245734,0.024621212121212155
2019-05-29,5390,5390,5260,5290,211518,-0.02218114602587795
2019-05-30,5300,5420,5290,5390,246049,0.018903591682419618
2019-05-31,5320,5430,5300,5380,195733,-0.0018552875695733162
2019-06-03,5310,5400,5290,5400,184994,0.0037174721189590088
2019-06-04,5410,5450,5370,5390,177950,-0.0018518518518518823
2019-06-05,5410,5500,5410,5490,260382,0.01855287569573294
2019-06-07,5500,5570,5450,5550,182953,0.010928961748633892
2019-06-10,5580,5600,5510,5600,200119,0.009009009009008917
2019-06-11,5590,5660,5560,5630,224494,0.005357142857142838
2019-06-12,5640,5660,5550,5660,174973,0.005328596802841812
2019-06-13,5650,5690,5550,5650,478411,-0.0017667844522968323
2019-06-14,5690,5700,5600,5620,210908,-0.005309734513274322
2019-06-17,5610,5690,5590,5650,138783,0.005338078291814874
2019-06-18,5650,5690,5610,5650,161029,0.0
2019-06-19,5700,5700,5630,5650,119462,0.0
2019-06-20,5700,5780,5660,5770,404081,0.02123893805309729
2019-06-21,5770,5780,5700,5770,242046,0.0
2019-06-24,5730,5770,5680,5730,185349,-0.006932409012131768
2019-06-25,5740,5740,5660,5670,184307,-0.010471204188481686
2019-06-26,5620,5710,5610,5680,166925,0.0017636684303350414
2019-06-27,5630,5770,5630,5700,235010,0.0035211267605634866
2019-06-28,5770,5770,5650,5720,122998,0.0035087719298245723
2019-07-01,5780,5800,5690,5720,163164,0.0
2019-07-02,5680,5790,5680,5750,205212,0.005244755244755206
2019-07-03,5780,5780,5620,5620,227575,-0.022608695652173938
2019-07-04,5630,5700,5590,5660,141986,0.007117437722419906
2019-07-05,5680,5680,5600,5650,146123,-0.0017667844522968323
2019-07-08,5650,5660,5360,5400,357108,-0.04424778761061943
2019-07-09,5490,5510,5370,5380,251899,-0.0037037037037036535
2019-07-10,5380,5470,5350,5400,283850,0.0037174721189590088
2019-07-11,5440,5600,5420,5560,314190,0.029629629629629672
2019-07-12,5520,5680,5520,5630,267205,0.012589928057553879
2019-07-15,5630,5660,5520,5560,180770,-0.01243339253996445
2019-07-16,5560,5620,5530,5600,163093,0.007194244604316502
2019-07-17,5550,5580,5420,5440,246389,-0.02857142857142858
2019-07-18,5400,5450,5360,5360,164247,-0.014705882352941124
2019-07-19,5400,5470,5370,5470,109992,0.020522388059701413
2019-07-22,5440,5490,5400,5470,78624,0.0
2019-07-23,5440,5550,5430,5490,186915,0.003656307129798808
2019-07-24,5500,5520,5420,5460,135012,-0.005464480874316946
2019-07-25,5510,5510,5340,5370,193570,-0.016483516483516536
2019-07-26,5370,5380,5280,5290,193031,-0.014897579143389184
